,km_driven,insurance_prem,manufacturer,model,listed_price,car_seller,state,owner_type,car_age,top_features_count
0,69162.0,0,maruti,maruti wagon r,370000.0,1,uttar pradesh,1,9,9
1,45864.0,0,maruti,maruti celerio,365000.0,1,maharashtra,1,10,8
2,81506.0,0,honda,honda amaze,421000.0,1,delhi,2,10,9
3,115893.0,0,maruti,maruti wagon r,240000.0,1,delhi,2,12,8
4,18900.0,0,maruti,maruti ertiga,1175000.0,1,maharashtra,1,3,9
5,60000.0,0,maruti,maruti wagon r,250000.0,1,delhi,1,13,9
7,58000.0,0,hyundai,hyundai grand i10,465000.0,1,delhi,1,8,9
8,54097.0,0,maruti,maruti wagon r,560000.0,1,haryana,1,4,8
9,67000.0,0,maruti,maruti wagon r,215000.0,1,delhi,2,14,9
10,98083.0,0,maruti,maruti celerio,425000.0,1,maharashtra,1,7,8
11,80000.0,0,maruti,maruti celerio,380000.0,0,uttar pradesh,1,6,8
12,39000.0,0,maruti,maruti ertiga,795000.0,1,maharashtra,1,8,9
13,34889.0,0,maruti,maruti wagon r,350000.0,1,maharashtra,1,11,9
14,31758.0,0,maruti,maruti wagon r,650000.0,1,delhi,1,3,8
15,23000.0,0,maruti,maruti wagon r,599000.0,1,uttar pradesh,1,4,9
16,60000.0,0,hyundai,hyundai grand i10,425000.0,1,delhi,2,11,9
17,43413.0,0,maruti,maruti wagon r,317736.0,1,delhi,2,9,9
19,67720.0,0,maruti,maruti celerio,317400.0,1,maharashtra,3,11,8
20,99821.0,0,maruti,maruti wagon r,250000.0,1,maharashtra,1,12,9
21,67477.0,0,maruti,maruti wagon r,380000.0,1,maharashtra,2,11,9
22,24158.0,0,maruti,maruti wagon r,600000.0,1,uttar pradesh,1,4,8
23,35000.0,0,maruti,maruti wagon r,325000.0,1,delhi,1,11,8
25,32530.0,0,maruti,maruti wagon r,613000.0,1,maharashtra,2,4,8
26,90300.0,0,maruti,maruti wagon r,285000.0,1,maharashtra,2,9,8
27,43000.0,0,maruti,maruti wagon r,424999.0,1,delhi,1,6,8
28,28061.0,0,maruti,maruti wagon r,613000.0,1,karnataka,1,4,8
29,60000.0,0,maruti,maruti wagon r,250000.0,0,assam,1,13,8
30,40000.0,0,maruti,maruti wagon r,600000.0,0,uttar pradesh,1,5,8
31,95000.0,0,maruti,maruti eeco,341000.0,1,maharashtra,1,8,8
32,40594.0,0,maruti,maruti wagon r,439112.0,1,maharashtra,1,8,9
33,91495.0,0,maruti,maruti wagon r,200000.0,1,delhi,1,13,8
35,37900.0,0,maruti,maruti wagon r,534000.0,1,maharashtra,1,5,9
36,80000.0,0,maruti,maruti wagon r,395000.0,1,maharashtra,1,10,9
37,70000.0,0,maruti,maruti wagon r,385000.0,1,maharashtra,1,10,9
38,80000.0,0,maruti,maruti wagon r,250000.0,0,haryana,4,7,9
41,30087.0,0,maruti,maruti ertiga,600000.0,1,haryana,1,9,9
42,57953.0,0,maruti,maruti eeco,350000.0,1,delhi,2,8,8
43,74000.0,0,maruti,maruti wagon r,305000.0,1,maharashtra,2,12,8
45,70000.0,0,maruti,maruti wagon r,320000.0,0,uttar pradesh,1,10,9
46,41558.0,0,maruti,maruti ertiga,570000.0,1,maharashtra,1,11,9
47,45834.0,0,maruti,maruti alto k10,260000.0,1,uttar pradesh,1,10,8
48,90309.0,0,maruti,maruti ertiga,715000.0,1,maharashtra,1,10,9
49,89132.0,0,maruti,maruti alto 800,330000.0,1,uttar pradesh,1,6,8
50,92000.0,0,maruti,maruti wagon r,410000.0,1,haryana,1,7,8
51,80000.0,0,maruti,maruti wagon r,290000.0,1,delhi,1,12,8
52,40000.0,0,hyundai,hyundai aura,750000.0,0,maharashtra,1,4,9
53,58000.0,0,maruti,maruti wagon r,285000.0,0,maharashtra,1,12,9
54,157612.0,0,maruti,maruti wagon r,140974.0,1,uttar pradesh,1,14,8
55,73000.0,0,maruti,maruti wagon r,310000.0,0,maharashtra,2,10,9
56,30000.0,0,maruti,maruti eeco,500000.0,0,gujarat,1,5,8
57,77304.0,0,maruti,maruti wagon r,317736.0,1,uttar pradesh,1,8,9
58,25000.0,0,hyundai,hyundai grand i10 nios,725000.0,1,delhi,1,4,9
59,37334.0,0,maruti,maruti celerio,450000.0,1,maharashtra,1,6,8
60,46483.0,0,honda,honda city,395000.0,1,maharashtra,2,12,9
61,90000.0,0,maruti,maruti celerio,350000.0,0,gujarat,3,11,8
62,77452.0,0,maruti,maruti wagon r,366738.0,1,uttar pradesh,1,7,9
63,31431.0,0,maruti,maruti eeco,606845.0,1,maharashtra,1,4,8
64,167611.0,0,maruti,maruti wagon r,140974.0,1,haryana,1,14,8
65,12500.0,0,maruti,maruti eeco,550000.0,0,telangana,2,4,8
67,35000.0,0,hyundai,hyundai santro,560000.0,0,chandigarh,1,3,9
68,60000.0,0,maruti,maruti wagon r,230000.0,0,rajasthan,3,12,9
69,10000.0,0,tata,tata tiago,740000.0,0,uttar pradesh,1,3,9
70,135000.0,0,maruti,maruti eeco,315000.0,0,gujarat,3,10,8
71,50000.0,0,maruti,maruti eeco,570000.0,0,gujarat,1,4,8
72,70000.0,0,maruti,maruti wagon r,245000.0,0,maharashtra,3,12,9
73,10000.0,0,tata,tata tiago,720000.0,0,uttar pradesh,1,3,9
76,50000.0,0,maruti,maruti wagon r,440000.0,0,uttar pradesh,2,6,9
77,25000.0,0,maruti,maruti wagon r,640000.0,0,maharashtra,1,3,8
78,18734.0,0,hyundai,hyundai aura,725000.0,1,haryana,1,4,9
80,101232.0,0,maruti,maruti wagon r,280000.0,1,maharashtra,1,12,9
81,68943.0,0,maruti,maruti wagon r,130000.0,1,uttar pradesh,2,15,8
82,128312.0,0,maruti,maruti wagon r,265000.0,1,uttar pradesh,1,11,9
83,43264.0,0,maruti,maruti wagon r,319430.0,1,maharashtra,2,11,9
84,11568.0,0,maruti,maruti wagon r,575000.0,1,delhi,1,4,8
85,63954.0,0,maruti,maruti wagon r,300000.0,1,maharashtra,1,12,9
87,23484.0,0,maruti,maruti wagon r,580000.0,1,uttar pradesh,1,4,8
88,15000.0,0,maruti,maruti eeco,492801.0,0,karnataka,1,5,8
89,25000.0,0,maruti,maruti eeco,530000.0,0,uttar pradesh,1,3,8
90,9955.0,0,maruti,maruti eeco,620000.0,1,haryana,1,3,8
91,130000.0,0,honda,honda city,301000.0,0,gujarat,4,13,9
92,62386.0,0,maruti,maruti eeco,500000.0,1,delhi,1,4,8
94,83500.0,0,maruti,maruti ertiga,600000.0,0,maharashtra,1,11,9
95,140000.0,0,maruti,maruti eeco,390000.0,0,gujarat,1,6,8
96,79000.0,0,maruti,maruti wagon r,275000.0,1,maharashtra,2,13,9
97,75000.0,0,hyundai,hyundai santro,540000.0,1,maharashtra,1,6,9
98,70000.0,0,maruti,maruti wagon r,320000.0,1,maharashtra,1,11,9
99,20000.0,0,maruti,maruti ertiga,790000.0,0,maharashtra,1,9,9
100,71000.0,0,maruti,maruti eeco,350000.0,1,maharashtra,1,12,9
103,60783.0,0,maruti,maruti wagon r,300000.0,1,karnataka,1,11,9
104,7270.0,0,maruti,maruti wagon r,515000.0,1,uttar pradesh,1,4,8
105,35000.0,0,maruti,maruti eeco,575000.0,1,maharashtra,1,5,8
106,51000.0,0,maruti,maruti wagon r,385000.0,1,uttar pradesh,1,9,8
107,34525.0,0,maruti,maruti wagon r,500000.0,1,delhi,1,5,8
108,106871.0,0,maruti,maruti ertiga,600000.0,0,haryana,1,9,9
109,76000.0,0,maruti,maruti wagon r,295000.0,1,maharashtra,2,13,8
113,78917.0,0,maruti,maruti wagon r,200000.0,1,delhi,1,13,8
114,124076.0,0,maruti,maruti wagon r,234579.0,1,uttar pradesh,2,10,9
115,100000.0,0,hyundai,hyundai santro xing,270000.0,0,gujarat,1,11,0
116,40562.0,0,maruti,maruti wagon r,310000.0,1,delhi,4,9,9
117,45825.0,0,maruti,maruti wagon r,375000.0,1,delhi,2,8,9
118,70000.0,0,maruti,maruti wagon r,490000.0,0,uttar pradesh,1,5,8
119,46000.0,0,maruti,maruti eeco,450000.0,1,haryana,1,7,9
120,95000.0,0,maruti,maruti celerio,540000.0,1,haryana,1,5,8
121,20000.0,0,maruti,maruti eeco,625699.0,0,maharashtra,1,3,8
122,40000.0,0,maruti,maruti eeco,440000.0,0,gujarat,1,7,8
123,65337.0,0,maruti,maruti wagon r,271156.0,1,maharashtra,1,13,8
124,45022.0,0,maruti,maruti zen estilo,160000.0,1,gujarat,2,15,8
125,70000.0,0,maruti,maruti eeco,370000.0,0,haryana,1,6,8
126,51382.0,0,maruti,maruti wagon r,263928.0,1,delhi,3,10,9
128,12000.0,0,maruti,maruti wagon r,600000.0,0,uttar pradesh,1,5,8
129,120000.0,0,maruti,maruti wagon r,255000.0,0,maharashtra,1,13,8
130,89558.0,0,maruti,maruti wagon r,155128.0,1,delhi,1,14,8
131,28000.0,0,maruti,maruti eeco,475000.0,0,maharashtra,1,6,8
132,42000.0,0,maruti,maruti celerio,465000.0,1,maharashtra,1,9,8
134,53959.0,0,maruti,maruti wagon r,439276.0,1,maharashtra,1,7,9
135,51413.0,0,maruti,maruti wagon r,319430.0,1,maharashtra,2,11,9
136,42813.0,0,maruti,maruti wagon r,350000.0,1,maharashtra,1,11,9
137,32554.0,0,maruti,maruti wagon r,530000.0,1,delhi,1,4,8
